gene symbol,ID,type of marker,Source/PMID
Serpinf1,ENSMUST00000000769,"celltype-ASCW,celltype","34616068,Xiaowei"
Aldh1l1,ENSMUST00000032175,celltype-ASCW,34616068
Mfsd2a,ENSMUST00000030408,celltype-ASCNT,30096314
Slc7a10,ENSMUST00000001854,celltype-ASCNT,30096314
Agt,ENSMUST00000063278,celltype-ASCN,34616068
Itih3,ENSMUST00000006697,celltype-ASCN,34616068
Slc6a11,ENSMUST00000032451,celltype-ASCN,34616068
Mfge8,ENSMUST00000107409,"celltype-ASCG,celltype","34616068,Xiaowei"
Gja1,ENSMUST00000068581,celltype-ASCG,34616068
Slco1c1,ENSMUST00000205214,celltype-ASCG,34616068
Apoe,ENSMUST00000174064,"celltype-ASC,age","YangSlides,Xiaowei"
Slc1a2,ENSMUST00000080210,"celltype-ASC,age","YangSlides,Xiaowei"
Fam107a,ENSMUST00000036070,celltype-ASC,YangSlides
S1pr1,ENSMUST00000055676,celltype-ASC,YangSlides
Dapl1,ENSMUST00000028369,celltype-ABC,30096314
Calb2,ENSMUST00000003754,celltype,Xiaowei
Cpne7,ENSMUST00000037900,celltype,Xiaowei
Foxj1,ENSMUST00000036215,celltype,Xiaowei
Lhx6,ENSMUST00000112966,celltype,Xiaowei
Nxph4,ENSMUST00000095266,celltype,Xiaowei
Otof,ENSMUST00000074171,celltype,Xiaowei
Vtn,ENSMUST00000017488,celltype,Xiaowei
Acta2,ENSMUST00000039631,celltype,Xiaowei
Anln,ENSMUST00000040912,celltype,Xiaowei
Ano2,ENSMUST00000160496,celltype,Xiaowei
Apln,ENSMUST00000039026,celltype,Xiaowei
C1qa,ENSMUST00000046285,celltype,Xiaowei
C1qc,ENSMUST00000046332,celltype,Xiaowei
Ccn2,ENSMUST00000020171,celltype,Xiaowei
Cdkn2b,ENSMUST00000097981,celltype,Xiaowei
Cgnl1,ENSMUST00000072899,celltype,Xiaowei
Cpne9,ENSMUST00000041203,celltype,Xiaowei
Crhbp,ENSMUST00000221025,celltype,Xiaowei
Crispld2,ENSMUST00000132583,celltype,Xiaowei
Csf1r,ENSMUST00000025523,celltype,Xiaowei
Cspg4,ENSMUST00000035661,celltype,Xiaowei
Cx3cr1,ENSMUST00000064165,celltype,Xiaowei
Cxcl10,ENSMUST00000038816,celltype,Xiaowei
Egfr,ENSMUST00000020329,celltype,Xiaowei
Emid1,ENSMUST00000132328,celltype,Xiaowei
Enpp6,ENSMUST00000039840,celltype,Xiaowei
Exph5,ENSMUST00000051014,celltype,Xiaowei
F13a1,ENSMUST00000164727,celltype,Xiaowei
Fn1,ENSMUST00000055226,celltype,Xiaowei
Grin2c,ENSMUST00000003351,celltype,Xiaowei
Hexb,ENSMUST00000022169,celltype,Xiaowei
Igf2,ENSMUST00000000033,celltype,Xiaowei
Irf7,ENSMUST00000026571,celltype,Xiaowei
Itgam,ENSMUST00000064821,celltype,Xiaowei
Kcnip2,ENSMUST00000162528,celltype,Xiaowei
Klf12,ENSMUST00000228216,celltype,Xiaowei
Lama1,ENSMUST00000035471,celltype,Xiaowei
Mrc1,ENSMUST00000028045,celltype,Xiaowei
Myh11,ENSMUST00000090287,celltype,Xiaowei
Nfkbia,ENSMUST00000021413,celltype,Xiaowei
Ptpru,ENSMUST00000105987,celltype,Xiaowei
Selplg,ENSMUST00000201931,celltype,Xiaowei
Slc6a20a,ENSMUST00000040960,celltype,Xiaowei
Smoc2,ENSMUST00000024660,celltype,Xiaowei
Sox10,ENSMUST00000230532,celltype,Xiaowei
Sox6,ENSMUST00000206034,celltype,Xiaowei
Syt6,ENSMUST00000090697,celltype,Xiaowei
Atg5,ENSMUST00000039286,age/sasp,other/sai
Banf1,ENSMUST00000170010,age/sasp,other/sai
Bcl2,ENSMUST00000112751,age/sasp,other/sai
Becn1,ENSMUST00000130916,age/sasp,other/sai
Bub1,ENSMUST00000143824,age/sasp,other/sai
Cbx5,ENSMUST00000118152,age/sasp,other/sai
Ccl2,ENSMUST00000000193,age/sasp,other/sai
Ccl3,ENSMUST00000001008,age/sasp,other/sai
Cdkn2a,ENSMUST00000060501,age/sasp,other/sai
Cxcr3,ENSMUST00000031326,age/sasp,other/sai
Ddit3,ENSMUST00000026475,age/sasp,other/sai
Ddit4,ENSMUST00000020308,age/sasp,other/sai
Eif5a,ENSMUST00000108613,age/sasp,other/sai
Ep300,ENSMUST00000068387,age/sasp,other/sai
Foxo1,ENSMUST00000053764,age/sasp,other/sai
Gdf11,ENSMUST00000026408,age/sasp,other/sai
Glb1,ENSMUST00000063042,age/sasp,other/sai
H2afx,ENSMUST00000052686,age/sasp,other/sai
Il1b,ENSMUST00000028881,age/sasp,other/sai
Il2,ENSMUST00000029275,age/sasp,other/sai
Irf1,ENSMUST00000108920,age/sasp,other/sai
Irf2bp1,ENSMUST00000053713,age/sasp,other/sai
Irf3,ENSMUST00000003284,age/sasp,other/sai
Kat7,ENSMUST00000107733,age/sasp,other/sai
Klf4,ENSMUST00000107619,age/sasp,other/sai
Lmna,ENSMUST00000135494,age/sasp,other/sai
Lmnb1,ENSMUST00000025486,age/sasp,other/sai
Map1lc3a,ENSMUST00000145086,age/sasp,other/sai
Myc,ENSMUST00000161976,age/sasp,other/sai
Nlrp3,ENSMUST00000079476,age/sasp,other/sai
Rps23,ENSMUST00000051955,age/sasp,other/sai
Rps9,ENSMUST00000006496,age/sasp,other/sai
Sirt2,ENSMUST00000122915,age/sasp,other/sai
Sirt3,ENSMUST00000106048,age/sasp,other/sai
Sirt6,ENSMUST00000042923,age/sasp,other/sai
Sirt7,ENSMUST00000080202,age/sasp,other/sai
Sox8,ENSMUST00000025003,age/sasp,other/sai
Sox9,ENSMUST00000000579,age/sasp,other/sai
Tfam,ENSMUST00000152505,age/sasp,other/sai
Tfeb,ENSMUST00000086932,age/sasp,other/sai
Timp2,ENSMUST00000017610,age/sasp,other/sai
Vegfa,ENSMUST00000071648,age/sasp,other/sai
Zmpste24,ENSMUST00000058754,age/sasp,other/sai
Adarb2,ENSMUST00000064473,"age,celltype",Xiaowei
Olig1,ENSMUST00000056882,"age,celltype",Xiaowei
Pisd-ps2,ENSMUST00000127960,age,ATAC-variable gene
Pisd,ENSMUST00000061895,age,ATAC-variable gene
Hist1h1c,ENSMUST00000040914,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Tma7,ENSMUST00000167504,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Rbbp7,ENSMUST00000033720,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Ctnnbip1,ENSMUST00000030839,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Scd2,ENSMUST00000026221,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Pcdhb7,ENSMUST00000053037,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Rsrp1,ENSMUST00000154837,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Hist1h1d,ENSMUST00000045301,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Asap1,ENSMUST00000176358,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Cd59a,ENSMUST00000040423,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Crlf2,ENSMUST00000198960,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Fcrls,ENSMUST00000090986,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Gstm1,ENSMUST00000198532,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Itga1,ENSMUST00000061673,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Kansl2,ENSMUST00000116400,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Map2,ENSMUST00000077355,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Rida,ENSMUST00000022946,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
Ifi27,ENSMUST00000066701,age,"clock genes from https://doi.org/10.1038/s43587-022-00335-4

"
